Cuvant: ~If~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~469~
Cuvant: ~pro-Trujillo~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~pro-Castro~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~effectiveness~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~Matter~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~rivalry~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~craft~; Parte expl.: ~substantiv~; Nr. intrari: ~16~
Cuvant: ~pressures~; Parte expl.: ~substantiv~; Nr. intrari: ~16~
Cuvant: ~split~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~Craft~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~spark~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~secession~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~breach~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~Industrial~; Parte expl.: ~adjectiv~; Nr. intrari: ~18~
Cuvant: ~Organizations~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Or~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~63~
Cuvant: ~automation~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~factories~; Parte expl.: ~substantiv~; Nr. intrari: ~19~
Cuvant: ~Reuther~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~faction~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~AFL-CIO~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~squabbling~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~disastrous~; Parte expl.: ~adjectiv~; Nr. intrari: ~13~
Cuvant: ~Hoffa~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Teamsters~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~conjecture~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~jurisdictional~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~result~; Parte expl.: ~verb~; Nr. intrari: ~26~
Cuvant: ~craft-industrial~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Engaged~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~patience~; Parte expl.: ~substantiv~; Nr. intrari: ~14~
Cuvant: ~labor's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~feuds~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~concept~; Parte expl.: ~substantiv~; Nr. intrari: ~40~
Cuvant: ~confronting~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~bastion~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Deterrent~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~question~; Parte expl.: ~verb~; Nr. intrari: ~9~
Cuvant: ~Freeman's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~deterrent~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~spread~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~struggle~; Parte expl.: ~substantiv~; Nr. intrari: ~33~
Cuvant: ~awed~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~surpluses~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Soviet's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~successes~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~surprise~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~impressed~; Parte expl.: ~verb~; Nr. intrari: ~17~
Cuvant: ~farmer's~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~over-produce~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~dollar~; Parte expl.: ~substantiv~; Nr. intrari: ~33~
Cuvant: ~relief~; Parte expl.: ~substantiv~; Nr. intrari: ~43~
Cuvant: ~feed~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~grain~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~fiasco~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~supports~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~growers~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~planted~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~acreage~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~farmers~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~outsmarted~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~shortening~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~rows~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~pouring~; Parte expl.: ~verb~; Nr. intrari: ~7~
Cuvant: ~fertilizer~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Communists~; Parte expl.: ~substantiv~; Nr. intrari: ~20~
Cuvant: ~swindling~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~taxpayer~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~What's~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~predictable~; Parte expl.: ~adjectiv~; Nr. intrari: ~6~
Cuvant: ~conclusions~; Parte expl.: ~substantiv~; Nr. intrari: ~19~
Cuvant: ~questioning~; Parte expl.: ~verb~; Nr. intrari: ~11~
Cuvant: ~revitalize~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~layers~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~wedded~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~suspicious~; Parte expl.: ~adjectiv~; Nr. intrari: ~6~
Cuvant: ~innovation~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~fearful~; Parte expl.: ~adjectiv~; Nr. intrari: ~7~
Cuvant: ~corps~; Parte expl.: ~substantiv~; Nr. intrari: ~16~
Cuvant: ~presidential~; Parte expl.: ~adjectiv~; Nr. intrari: ~5~
Cuvant: ~create~; Parte expl.: ~verb~; Nr. intrari: ~31~
Cuvant: ~friction~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~easier~; Parte expl.: ~adverb~; Nr. intrari: ~4~
Cuvant: ~Rusk~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~restore~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~vigor~; Parte expl.: ~substantiv~; Nr. intrari: ~10~
Cuvant: ~initiative~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~subordinates~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~competent~; Parte expl.: ~adjectiv~; Nr. intrari: ~12~
Cuvant: ~lie~; Parte expl.: ~verb~; Nr. intrari: ~27~
Cuvant: ~draw~; Parte expl.: ~verb~; Nr. intrari: ~25~
Cuvant: ~comfort~; Parte expl.: ~substantiv~; Nr. intrari: ~27~
Cuvant: ~Jackson's~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Self-criticism~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~commodity~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Betting~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~forecasting~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~hazardous~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~undertaking~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~specialist~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~risk~; Parte expl.: ~verb~; Nr. intrari: ~7~
Cuvant: ~prognosticator~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~trends~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~hat~; Parte expl.: ~substantiv~; Nr. intrari: ~38~
Cuvant: ~cake~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~fedora~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Goldberg~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~guessing~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~wrong~; Parte expl.: ~adverb~; Nr. intrari: ~4~
Cuvant: ~holding~; Parte expl.: ~verb~; Nr. intrari: ~37~
Cuvant: ~putting~; Parte expl.: ~verb~; Nr. intrari: ~39~
Cuvant: ~predicting~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~basing~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~guess~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~stride~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~retail~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~sailing~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~keel~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~hurricane~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~secretary's~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~spared~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~Cambodia's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~harboring~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~marauders~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~miserable~; Parte expl.: ~adjectiv~; Nr. intrari: ~10~
Cuvant: ~neighboring~; Parte expl.: ~verb~; Nr. intrari: ~11~
Cuvant: ~Viet~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~Nam~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~Thailand~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Asia~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~communism's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~inevitable~; Parte expl.: ~adjectiv~; Nr. intrari: ~15~
Cuvant: ~Sihanouk~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~towel~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~prince~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~vantage~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~concedes~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~pro-Western~; Parte expl.: ~adjectiv~; Nr. intrari: ~7~
Cuvant: ~posture~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~Sihanouk's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~prognostication~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~praise~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~courage~; Parte expl.: ~substantiv~; Nr. intrari: ~21~
Cuvant: ~convictions~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~Bottom~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~sighted~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~cast~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~pacemaker~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Washington's~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~forecasters~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Weeks~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Cabinet~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~shaking~; Parte expl.: ~verb~; Nr. intrari: ~14~
Cuvant: ~heads~; Parte expl.: ~substantiv~; Nr. intrari: ~28~
Cuvant: ~Recently~; Parte expl.: ~adverb~; Nr. intrari: ~9~
Cuvant: ~Hodges'~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~reluctance~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~pioneered~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~unknown~; Parte expl.: ~adjectiv~; Nr. intrari: ~28~
Cuvant: ~sliding~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~January's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~1.5~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~Corroborating~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~figures~; Parte expl.: ~substantiv~; Nr. intrari: ~61~
Cuvant: ~Board's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~year-earlier~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~credit~; Parte expl.: ~substantiv~; Nr. intrari: ~22~
Cuvant: ~Easter~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~payments~; Parte expl.: ~substantiv~; Nr. intrari: ~23~
Cuvant: ~interrupted~; Parte expl.: ~verb~; Nr. intrari: ~7~
Cuvant: ~Initial~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~claims~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~jobless~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~8,100~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~hopeful~; Parte expl.: ~adjectiv~; Nr. intrari: ~8~
Cuvant: ~Well~; Parte expl.: ~adverb~; Nr. intrari: ~18~
Cuvant: ~Prosperity~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~preferred~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~folk~; Parte expl.: ~substantiv~; Nr. intrari: ~23~
Cuvant: ~builder's~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~march~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~sea~; Parte expl.: ~substantiv~; Nr. intrari: ~46~
Cuvant: ~parceled~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~shoreline~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~presses~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~develop~; Parte expl.: ~verb~; Nr. intrari: ~48~
Cuvant: ~spaces~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~bird~; Parte expl.: ~substantiv~; Nr. intrari: ~17~
Cuvant: ~sanctuary~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~magic~; Parte expl.: ~adjectiv~; Nr. intrari: ~15~
Cuvant: ~herons~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~battlefront~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~extends~; Parte expl.: ~verb~; Nr. intrari: ~7~
Cuvant: ~Against~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~4~
Cuvant: ~preservation~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~tract~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~unimportant~; Parte expl.: ~adjectiv~; Nr. intrari: ~6~
Cuvant: ~Interior~; Parte expl.: ~substantiv~; Nr. intrari: ~17~
Cuvant: ~Udall~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~warns~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~surviving~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~shorelines~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~enjoyment~; Parte expl.: ~substantiv~; Nr. intrari: ~13~
Cuvant: ~preserves~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~seashore~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Provincetown~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Chatham~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~strengthened~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~recreation~; Parte expl.: ~substantiv~; Nr. intrari: ~29~
Cuvant: ~sanctuary's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~formidable~; Parte expl.: ~adjectiv~; Nr. intrari: ~12~
Cuvant: ~Audubon~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~snowy~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~cattle~; Parte expl.: ~substantiv~; Nr. intrari: ~62~
Cuvant: ~egrets~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~black-crowned~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~nest~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~feed~; Parte expl.: ~verb~; Nr. intrari: ~11~
Cuvant: ~double~; Parte expl.: ~verb~; Nr. intrari: ~4~
Cuvant: ~desirability~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~dunes~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~sentiment~; Parte expl.: ~substantiv~; Nr. intrari: ~15~
Cuvant: ~conserving~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~joyride~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~glamor~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Peace~; Parte expl.: ~substantiv~; Nr. intrari: ~53~
Cuvant: ~applicants~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~Sargent~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Shriver~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~corpsman~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Anybody~; Parte expl.: ~pronume~; Nr. intrari: ~3~
Cuvant: ~expecting~; Parte expl.: ~verb~; Nr. intrari: ~13~
Cuvant: ~arduous~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~16-hour~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~remote~; Parte expl.: ~adjectiv~; Nr. intrari: ~21~
Cuvant: ~underdeveloped~; Parte expl.: ~adjectiv~; Nr. intrari: ~6~
Cuvant: ~diet~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~nil~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~captured~; Parte expl.: ~verb~; Nr. intrari: ~10~
Cuvant: ~area's~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Industry~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Joint~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~confirms~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~reinforces~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~findings~; Parte expl.: ~substantiv~; Nr. intrari: ~23~
Cuvant: ~Survey~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~observed~; Parte expl.: ~verb~; Nr. intrari: ~21~
Cuvant: ~Missouri-Illinois~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~countryside~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~sits~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~slow-growing~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~stagnant~; Parte expl.: ~adjectiv~; Nr. intrari: ~4~
Cuvant: ~mid-continent~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~region~; Parte expl.: ~substantiv~; Nr. intrari: ~40~
Cuvant: ~Slackened~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~reflects~; Parte expl.: ~verb~; Nr. intrari: ~13~
Cuvant: ~region's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~industries~; Parte expl.: ~substantiv~; Nr. intrari: ~11~
Cuvant: ~confined~; Parte expl.: ~verb~; Nr. intrari: ~11~
Cuvant: ~retarding~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~stake~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~stimulating~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~outstate~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Dalton's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~nine-state~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~collective~; Parte expl.: ~adjectiv~; Nr. intrari: ~14~
Cuvant: ~attract~; Parte expl.: ~verb~; Nr. intrari: ~12~
Cuvant: ~Ellis~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~impartial~; Parte expl.: ~adjectiv~; Nr. intrari: ~4~
Cuvant: ~analysis~; Parte expl.: ~substantiv~; Nr. intrari: ~38~
Cuvant: ~Missouri's~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~proceed~; Parte expl.: ~verb~; Nr. intrari: ~8~
Cuvant: ~dovetail~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~Schwada~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~outlined~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~contribution~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~economically~; Parte expl.: ~adverb~; Nr. intrari: ~6~
Cuvant: ~depressed~; Parte expl.: ~verb~; Nr. intrari: ~8~
Cuvant: ~stimulus~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~Carbondale~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~$500,000~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~city-owned~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~accommodate~; Parte expl.: ~verb~; Nr. intrari: ~13~
Cuvant: ~Herrin-Murphysboro-West~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Frankfort~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Politics-ridden~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~Clair~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~vacant~; Parte expl.: ~adjectiv~; Nr. intrari: ~5~
Cuvant: ~jurisdiction~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~unstable~; Parte expl.: ~adjectiv~; Nr. intrari: ~8~
Cuvant: ~shy~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Side~; Parte expl.: ~substantiv~; Nr. intrari: ~9~
Cuvant: ~appreciation~; Parte expl.: ~substantiv~; Nr. intrari: ~14~
Cuvant: ~zoning~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~governmental~; Parte expl.: ~adjectiv~; Nr. intrari: ~13~
Cuvant: ~parochial~; Parte expl.: ~adjectiv~; Nr. intrari: ~7~
Cuvant: ~area-wide~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~plant-location~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~specialists~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~avoid~; Parte expl.: ~verb~; Nr. intrari: ~37~
Cuvant: ~civic~; Parte expl.: ~adjectiv~; Nr. intrari: ~13~
Cuvant: ~acceleration~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~sufficient~; Parte expl.: ~adjectiv~; Nr. intrari: ~28~
Cuvant: ~slip~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~second-class~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~excess~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~zeal~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~reformers~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Still~; Parte expl.: ~adverb~; Nr. intrari: ~30~
Cuvant: ~confess~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~City's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Having~; Parte expl.: ~verb~; Nr. intrari: ~15~
Cuvant: ~Sapio~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~primaries~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Tammany~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Granted~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~tiger~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~regarded~; Parte expl.: ~verb~; Nr. intrari: ~19~
Cuvant: ~badges~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~shame~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~sachems~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~tradition~; Parte expl.: ~substantiv~; Nr. intrari: ~37~
Cuvant: ~balks~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~expunging~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~sedition~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~un-American~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~Sons~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~overthrow~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Further~; Parte expl.: ~adverb~; Nr. intrari: ~12~
Cuvant: ~reforming~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~cartoonists~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~consent~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~banishment~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~zoo~; Parte expl.: ~substantiv~; Nr. intrari: ~6~
Cuvant: ~donkey~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~elephant~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~attempting~; Parte expl.: ~verb~; Nr. intrari: ~12~
Cuvant: ~publicity~; Parte expl.: ~substantiv~; Nr. intrari: ~13~
Cuvant: ~tiger's~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~stripes~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Faget~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
